Cust_ID,Cust_FName,Cust_LName,Cust_Address,Cust_City,Cust_Country,Cust_State,Cust_Zip,Cust_PhoneNum
1,Nev,Stoak,74 Michigan Parkway,Whittier,US,California,90610,562-227-2540
2,Loutitia,Astles,77 Miller Drive,Peoria,US,Illinois,61651,309-229-0156
3,Othilie,Bonevant,6 Lake View Point,Hartford,US,Connecticut,06140,860-287-6193
4,Neile,Farge,721 Rockefeller Plaza,Cincinnati,US,Ohio,45999,513-239-0826
5,Bernadette,Hesse,73075 2nd Parkway,San Jose,US,California,95118,408-212-8688
6,Mattias,McKinnon,2 Prairieview Crossing,Pittsburgh,US,Pennsylvania,15286,412-592-0750
7,Hy,Aizkovitch,2214 Scott Point,Indianapolis,US,Indiana,46239,317-661-4763
8,Darb,Samudio,167 Acker Court,South Bend,US,Indiana,46634,574-639-3009
9,Antonina,Scorrer,2027 Delladonna Lane,Madison,US,Wisconsin,53716,608-928-7997
10,Dell,Broxholme,40330 Almo Lane,Mobile,US,Alabama,36616,251-892-1536
11,Garrot,Sarver,98 Hansons Road,Philadelphia,US,Pennsylvania,19093,215-603-8227
12,Tamqrah,Stokey,9193 Florence Hill,Fort Worth,US,Texas,76162,682-291-5866
13,Clemmie,McGeffen,31494 Hoepker Trail,Dallas,US,Texas,75265,214-906-9541
14,Hester,Gwynne,3 Westridge Crossing,San Diego,US,California,92170,619-360-0093
15,Carl,Buterton,4 Towne Way,Tulsa,US,Oklahoma,74149,918-190-4250
16,Loydie,Dicty,469 Hagan Parkway,Louisville,US,Kentucky,40266,502-942-4607
17,Hersch,Kilfeather,0838 Mayfield Drive,Kansas City,US,Missouri,64187,816-571-8728
18,Ralina,Yerrill,060 Acker Circle,Denver,US,Colorado,80279,303-223-6728
19,Ulrich,MacFadden,7 Summerview Pass,Minneapolis,US,Minnesota,55412,612-951-7879
20,Charline,Quayle,54 Kinsman Road,Atlanta,US,Georgia,31165,404-426-2138
21,Ashlen,Deny,717 Porter Alley,Boston,US,Massachusetts,02109,617-326-7207
22,Sashenka,Somerled,8 Warner Place,Pocatello,US,Idaho,83206,208-992-5449
23,Charley,Buer,3151 Moland Junction,Bakersfield,US,California,93305,661-950-4716
24,Ellwood,Dalgarnowch,391 Kipling Alley,San Jose,US,California,95108,408-461-4418
25,Merralee,Nystrom,26 South Center,Fort Collins,US,Colorado,80525,970-749-5075
26,Ignazio,Creboe,8 Huxley Drive,Tucson,US,Arizona,85725,520-976-8222
27,Hendrick,Skein,7810 Old Gate Trail,Houston,US,Texas,77065,281-824-2084
28,Claire,Loxdale,57677 Grover Alley,Fort Myers,US,Florida,33906,239-349-7434
29,Christophe,Syddall,03823 Reinke Point,Norfolk,US,Virginia,23520,757-235-6394
30,Martita,Slipper,703 Bartillon Street,Louisville,US,Kentucky,40287,502-490-8564
31,Melba,Saich,7 East Hill,Ventura,US,California,93005,805-112-9423
32,Abie,Battaille,76 Jenna Way,Huntington,US,West Virginia,25726,304-480-1378
